Date,Time,Open,High,Low,Close,Volume
2025-07-02,10:56:00,6083.5,6084.0,6082.5,6083.0,806
2025-07-02,10:57:00,6083.0,6085.5,6083.0,6085.0,917
2025-07-02,10:58:00,6086.5,6086.5,6082.5,6082.5,887
2025-07-02,10:59:00,6082.5,6085.0,6082.5,6084.5,669
2025-07-02,11:00:00,6086.0,6086.0,6079.0,6082.5,1350
2025-07-02,11:01:00,6081.5,6081.5,6078.5,6078.5,361
2025-07-02,11:02:00,6078.5,6081.0,6078.0,6081.0,1287
2025-07-02,11:03:00,6080.5,6081.0,6078.0,6078.0,822
2025-07-02,11:04:00,6077.5,6104.5,6077.5,6104.0,9673
2025-07-02,11:05:00,6104.0,6104.0,6100.5,6100.5,1452
2025-07-02,11:06:00,6101.5,6108.0,6100.5,6107.5,3207
2025-07-02,11:07:00,6107.5,6116.5,6103.5,6116.5,4143
2025-07-02,11:08:00,6114.0,6116.0,6110.0,6110.0,1646
2025-07-02,11:09:00,6110.0,6118.5,6110.0,6117.5,2488
2025-07-02,11:10:00,6116.5,6117.0,6110.5,6112.5,1762
2025-07-02,11:11:00,6110.5,6118.0,6110.5,6116.5,1986
2025-07-02,11:12:00,6118.0,6118.0,6114.0,6115.0,990
2025-07-02,11:13:00,6114.5,6115.0,6111.0,6112.5,979
2025-07-02,11:14:00,6112.5,6115.0,6112.0,6114.5,1702
2025-07-02,11:15:00,6114.5,6115.0,6114.0,6115.0,1369
2025-07-02,11:16:00,6114.5,6114.5,6109.5,6109.5,1317
2025-07-02,11:17:00,6108.0,6114.5,6108.0,6110.5,1863
2025-07-02,11:18:00,6111.5,6111.5,6106.5,6108.0,1244
2025-07-02,11:19:00,6108.0,6111.5,6108.0,6109.0,1468
2025-07-02,11:20:00,6111.0,6112.0,6108.5,6109.5,769
2025-07-02,11:21:00,6109.5,6115.0,6109.5,6114.0,987
2025-07-02,11:22:00,6114.5,6122.0,6114.0,6120.0,5604
2025-07-02,11:23:00,6120.0,6125.0,6118.5,6122.5,3036
2025-07-02,11:24:00,6123.5,6125.0,6117.0,6117.5,2020
2025-07-02,11:25:00,6117.5,6119.5,6117.5,6118.0,842
2025-07-02,11:26:00,6118.0,6119.5,6117.0,6117.0,1565
2025-07-02,11:27:00,6115.5,6116.0,6111.5,6112.5,923
2025-07-02,11:28:00,6111.5,6112.5,6111.0,6111.5,674
2025-07-02,11:29:00,6111.0,6111.5,6109.0,6111.0,793
2025-07-02,11:30:00,6111.0,6112.0,6109.0,6112.0,951
2025-07-02,11:31:00,6111.5,6112.5,6109.0,6109.0,1086
2025-07-02,11:32:00,6110.0,6110.0,6108.0,6108.0,873
2025-07-02,11:33:00,6108.0,6108.5,6105.5,6108.5,1551
2025-07-02,11:34:00,6108.5,6109.5,6107.0,6107.5,700
2025-07-02,11:35:00,6107.5,6107.5,6106.0,6106.0,714
2025-07-02,11:36:00,6106.0,6108.0,6105.5,6106.0,1845
2025-07-02,11:37:00,6107.5,6112.5,6106.5,6110.0,1084
2025-07-02,11:38:00,6111.0,6115.0,6110.5,6114.5,1663
2025-07-02,11:39:00,6114.5,6123.0,6114.0,6123.0,2954
2025-07-02,11:40:00,6125.0,6149.0,6123.5,6147.0,13879
2025-07-02,11:41:00,6148.5,6156.0,6135.0,6150.0,32895
2025-07-02,11:42:00,6150.0,6179.0,6150.0,6178.0,42433
2025-07-02,11:43:00,6178.0,6182.5,6171.0,6178.5,9713
2025-07-02,11:44:00,6179.5,6205.0,6178.0,6200.0,33095
2025-07-02,11:45:00,6199.0,6203.0,6184.5,6185.0,7666
2025-07-02,11:46:00,6185.0,6208.5,6182.5,6207.0,29073
2025-07-02,11:47:00,6205.5,6230.0,6205.5,6226.0,59038
2025-07-02,11:48:00,6225.5,6225.5,6210.5,6213.0,19972
2025-07-02,11:49:00,6212.5,6213.0,6204.0,6208.0,4562
2025-07-02,11:50:00,6205.0,6208.0,6195.0,6200.0,5253
2025-07-02,11:51:00,6200.0,6200.5,6188.0,6191.5,4652
2025-07-02,11:52:00,6191.5,6196.5,6191.5,6194.0,1976
2025-07-02,11:53:00,6194.0,6195.0,6187.0,6192.0,2111
2025-07-02,11:54:00,6192.0,6192.0,6187.0,6187.0,1793
2025-07-02,11:55:00,6188.0,6189.0,6186.0,6188.5,5200
2025-07-02,11:56:00,6188.0,6189.5,6183.5,6183.5,2691
2025-07-02,11:57:00,6183.5,6184.0,6179.0,6181.0,2423
2025-07-02,11:58:00,6182.0,6187.0,6182.0,6187.0,2258
